date,cumul_partial,cumul_full,cumul_booster
2021-02-24,66,3,0
2021-02-25,1215,5,0
2021-02-26,5318,8,0
2021-02-27,12039,14,0
2021-02-28,18758,20,0
2021-03-01,34153,26,0
2021-03-02,55840,30,0
2021-03-03,78531,36,0
2021-03-04,98044,53,0
2021-03-05,112416,59,0
2021-03-06,128256,63,0
2021-03-07,140846,70,0
2021-03-08,168052,86,0
2021-03-09,198120,149,0
2021-03-10,226895,161,0
2021-03-11,253411,171,0
2021-03-12,279534,181,0
2021-03-13,296595,184,0
2021-03-14,306905,189,0
2021-03-15,327300,192,0
2021-03-16,352777,199,0
2021-03-17,373576,264,0
2021-03-18,390891,1062,0
2021-03-19,401633,4898,0
2021-03-20,409334,11011,0
2021-03-21,419048,16863,0
2021-03-22,428769,31443,0
2021-03-23,437076,52321,0
2021-03-24,443368,75148,0
2021-03-25,449804,94520,0
2021-03-26,453743,107337,0
2021-03-27,455449,121781,0
2021-03-28,459133,134717,0
2021-03-29,466999,162102,0
2021-03-30,478528,191516,0
2021-03-31,488479,219042,0
2021-04-01,504390,245607,0
2021-04-02,511971,268517,0
2021-04-03,514653,283268,0
2021-04-04,520682,292435,0
2021-04-05,529884,311946,0
2021-04-06,540910,333651,0
2021-04-07,553638,351978,0
2021-04-08,565732,366790,0
2021-04-09,572965,381188,0
2021-04-10,578637,391260,0
2021-04-11,591114,401981,0
2021-04-12,616485,415945,0
2021-04-13,633303,423646,0
2021-04-14,654253,431397,0
2021-04-15,672358,440568,0
2021-04-16,687990,444494,0
2021-04-17,696568,445607,0
2021-04-18,702729,449373,0
2021-04-19,727405,457870,0
2021-04-20,749491,469163,0
2021-04-21,765334,481050,0
2021-04-22,779730,496241,0
2021-04-23,791952,502938,0
2021-04-24,799945,506426,0
2021-04-25,809059,512165,0
2021-04-26,830430,521111,0
2021-04-27,853258,533007,0
2021-04-28,879729,546277,0
2021-04-29,886199,552345,0
2021-04-30,903996,561266,0
2021-05-01,906927,563839,0
2021-05-02,914587,571963,0
2021-05-03,939127,598714,0
2021-05-04,969269,618421,0
2021-05-05,1001405,641337,0
2021-05-06,1038498,660126,0
2021-05-07,1070866,675621,0
2021-05-08,1089585,684069,0
2021-05-09,1115513,690677,0
2021-05-10,1152261,715560,0
2021-05-11,1182807,734022,0
2021-05-12,1193155,741854,0
2021-05-13,1193268,741864,0
2021-05-14,1193328,741873,0
2021-05-15,1203703,742477,0
2021-05-16,1213736,742811,0
2021-05-17,1246253,771030,0
2021-05-18,1292126,803438,0
2021-05-19,1342385,837592,0
2021-05-20,1401720,859605,0
2021-05-21,1444001,878519,0
2021-05-22,1487370,881889,0
2021-05-23,1525431,890324,0
2021-05-24,1595227,916485,0
2021-05-25,1665144,947295,0
2021-05-26,1685690,949207,0
2021-05-27,1744639,998896,0
2021-05-28,1791626,1026533,0
2021-05-29,1842784,1041625,0
2021-05-30,1881220,1066074,0
2021-05-31,1948915,1094808,0
2021-06-01,2024445,1119282,0
2021-06-02,2121569,1129185,0
2021-06-03,2233076,1137074,0
2021-06-04,2319594,1142068,0
2021-06-05,2391864,1143476,0
2021-06-06,2473093,1145096,0
