,date,variable,value
0,2021-02-24,cumul_partial,66
1,2021-02-25,cumul_partial,1215
2,2021-02-26,cumul_partial,5318
3,2021-02-27,cumul_partial,12039
4,2021-02-28,cumul_partial,18758
5,2021-03-01,cumul_partial,34153
6,2021-03-02,cumul_partial,55840
7,2021-03-03,cumul_partial,78531
8,2021-03-04,cumul_partial,98044
9,2021-03-05,cumul_partial,112416
10,2021-03-06,cumul_partial,128256
11,2021-03-07,cumul_partial,140846
12,2021-03-08,cumul_partial,168052
13,2021-03-09,cumul_partial,198120
14,2021-03-10,cumul_partial,226895
15,2021-03-11,cumul_partial,253411
16,2021-03-12,cumul_partial,279534
17,2021-03-13,cumul_partial,296595
18,2021-03-14,cumul_partial,306905
19,2021-03-15,cumul_partial,327300
20,2021-03-16,cumul_partial,352777
21,2021-03-17,cumul_partial,373576
22,2021-03-18,cumul_partial,390891
23,2021-03-19,cumul_partial,401633
24,2021-03-20,cumul_partial,409334
25,2021-03-21,cumul_partial,419048
26,2021-03-22,cumul_partial,428769
27,2021-03-23,cumul_partial,437076
28,2021-03-24,cumul_partial,443368
29,2021-03-25,cumul_partial,449804
30,2021-03-26,cumul_partial,453743
31,2021-03-27,cumul_partial,455449
32,2021-03-28,cumul_partial,459133
33,2021-03-29,cumul_partial,466999
34,2021-03-30,cumul_partial,478528
35,2021-03-31,cumul_partial,488479
36,2021-04-01,cumul_partial,504390
37,2021-04-02,cumul_partial,511971
38,2021-04-03,cumul_partial,514653
39,2021-04-04,cumul_partial,520682
40,2021-04-05,cumul_partial,529884
41,2021-04-06,cumul_partial,540910
42,2021-04-07,cumul_partial,553638
43,2021-04-08,cumul_partial,565732
44,2021-04-09,cumul_partial,572965
45,2021-04-10,cumul_partial,578637
46,2021-04-11,cumul_partial,591114
47,2021-04-12,cumul_partial,616485
48,2021-04-13,cumul_partial,633303
49,2021-04-14,cumul_partial,654253
50,2021-04-15,cumul_partial,672358
51,2021-04-16,cumul_partial,687990
52,2021-04-17,cumul_partial,696568
53,2021-04-18,cumul_partial,702729
54,2021-04-19,cumul_partial,727405
55,2021-04-20,cumul_partial,749491
56,2021-04-21,cumul_partial,765334
57,2021-04-22,cumul_partial,779730
58,2021-04-23,cumul_partial,791952
59,2021-04-24,cumul_partial,799945
60,2021-04-25,cumul_partial,809059
61,2021-04-26,cumul_partial,830430
