date,daily_partial,daily_full,daily_booster,daily_booster2
2021-02-24,66,3,0,0
2021-02-25,1149,2,0,0
2021-02-26,4103,3,0,0
2021-02-27,6721,6,0,0
2021-02-28,6719,6,0,0
2021-03-01,15395,6,0,0
2021-03-02,21687,4,0,0
2021-03-03,22691,6,0,0
2021-03-04,19513,17,0,0
2021-03-05,14372,6,0,0
2021-03-06,15840,4,0,0
2021-03-07,12590,7,0,0
2021-03-08,27206,16,0,0
2021-03-09,30068,63,0,0
2021-03-10,28775,12,0,0
2021-03-11,26512,10,0,0
2021-03-12,26123,10,0,0
2021-03-13,17061,3,0,0
2021-03-14,10310,5,0,0
2021-03-15,20395,3,0,0
2021-03-16,25476,7,0,0
2021-03-17,20799,65,0,0
2021-03-18,17315,798,0,0
2021-03-19,10742,3836,0,0
2021-03-20,7701,6113,0,0
2021-03-21,9714,5852,0,0
2021-03-22,9721,14580,0,0
2021-03-23,8307,20878,0,0
2021-03-24,6292,22827,0,0
2021-03-25,6436,19372,0,0
2021-03-26,3939,12817,0,0
2021-03-27,1706,14444,0,0
2021-03-28,3684,12936,0,0
2021-03-29,7866,27385,0,0
2021-03-30,11529,29414,0,0
2021-03-31,9951,27526,0,0
2021-04-01,15911,26565,0,0
2021-04-02,7581,22910,0,0
2021-04-03,2682,14751,0,0
2021-04-04,6029,9167,0,0
2021-04-05,9202,19511,0,0
2021-04-06,11026,21705,0,0
2021-04-07,12728,18327,0,0
2021-04-08,12094,14812,0,0
2021-04-09,7230,14398,0,0
2021-04-10,5672,10072,0,0
2021-04-11,12477,10721,0,0
2021-04-12,25371,13964,0,0
2021-04-13,16818,7701,0,0
2021-04-14,20950,7751,0,0
2021-04-15,18105,9171,0,0
2021-04-16,15632,3926,0,0
2021-04-17,8578,1113,0,0
2021-04-18,6161,3766,0,0
2021-04-19,24676,8497,0,0
2021-04-20,22086,11293,0,0
2021-04-21,15843,11887,0,0
2021-04-22,14396,15191,0,0
2021-04-23,12222,6697,0,0
2021-04-24,7993,3488,0,0
2021-04-25,9114,5739,0,0
2021-04-26,21371,8946,0,0
2021-04-27,22828,11896,0,0
2021-04-28,26471,13270,0,0
2021-04-29,6470,6068,0,0
2021-04-30,17797,8921,0,0
2021-05-01,2931,2573,0,0
2021-05-02,7660,8124,0,0
2021-05-03,24540,26751,0,0
2021-05-04,30142,19707,0,0
2021-05-05,32135,22916,0,0
2021-05-06,37093,18789,0,0
2021-05-07,32368,15495,0,0
2021-05-08,18719,8448,0,0
2021-05-09,25926,6608,0,0
2021-05-10,36748,24883,0,0
2021-05-11,30546,18462,0,0
2021-05-12,10348,7832,0,0
2021-05-13,113,10,0,0
2021-05-14,60,9,0,0
2021-05-15,10375,604,0,0
2021-05-16,10033,334,0,0
2021-05-17,32517,28219,0,0
2021-05-18,45873,32408,0,0
2021-05-19,50259,34154,0,0
2021-05-20,59335,22013,0,0
2021-05-21,42281,18914,0,0
2021-05-22,43369,3370,0,0
2021-05-23,38061,8435,0,0
2021-05-24,69796,26161,0,0
2021-05-25,69917,30810,0,0
2021-05-26,20546,1912,0,0
2021-05-27,58949,49689,0,0
2021-05-28,46987,27637,0,0
2021-05-29,51158,15092,0,0
2021-05-30,38436,24449,0,0
2021-05-31,67695,28734,0,0
2021-06-01,75530,24474,0,0
2021-06-02,97124,9903,0,0
2021-06-03,111507,7889,0,0
2021-06-04,86518,4994,0,0
2021-06-05,72270,1408,0,0
2021-06-06,81229,1620,0,0
2021-06-07,60866,5109,0,0
2021-06-08,108593,46454,0,0
2021-06-09,116402,40823,0,0
